Biosample,H3K4me1,H3K4me3,H3K36me3,H3K27me3,H3K9me3,H3K27ac,H3K9ac,H3K4me2,H2AFZ,H3K79me2,H4K20me1,H3F3A,H3K9me2
C042,ENCFF949YUL,ENCFF638PLM,ENCFF933NFR,ENCFF146RCM,ENCFF118SGX,---,ENCFF538QPW,ENCFF436OUH,ENCFF595TML,ENCFF124JZA,ENCFF551UVU,ENCFF134FQW,ENCFF343NDO
C043,ENCFF372GMC,ENCFF251QQR,ENCFF384MBG,ENCFF195CGX,ENCFF991VMY,ENCFF071XTD,ENCFF775TVD,ENCFF511LLP,ENCFF463QQG,---,ENCFF311XEZ,ENCFF319NDV,ENCFF367DBN
C044,ENCFF344ESM,ENCFF714ZRA,---,ENCFF796BLQ,ENCFF897EAD,---,---,---,---,---,---,---,---
C045,ENCFF940GVL,ENCFF067CAC,ENCFF772XOG,ENCFF509NMU,ENCFF822NPX,ENCFF099JZO,ENCFF428JVO,ENCFF099KXC,ENCFF993VCA,---,ENCFF811PAF,ENCFF930GXF,ENCFF529AGS
C046,ENCFF915ZEK,ENCFF039GUH,ENCFF963GUV,---,---,---,ENCFF161ECB,ENCFF284JRY,ENCFF598JBM,ENCFF177EZI,---,ENCFF036KSQ,---
C047,---,ENCFF698NGK,ENCFF352COT,ENCFF201IKT,ENCFF848WWG,ENCFF915EQE,ENCFF042EOH,ENCFF764THT,ENCFF085JFC,---,ENCFF580YCD,ENCFF728PWI,ENCFF580FEG
C048,ENCFF947CPU,ENCFF945CFH,ENCFF389JNT,ENCFF778VZK,ENCFF333REJ,ENCFF240GNN,ENCFF104OVI,ENCFF976WZG,ENCFF168QKL,ENCFF300CIW,ENCFF657TCI,ENCFF399TFL,---
C049,ENCFF801LPS,ENCFF523GAS,ENCFF237LRV,---,---,ENCFF110JXY,---,---,---,---,---,---,---
C050,ENCFF490RNA,ENCFF368UHF,ENCFF729MAD,ENCFF585MIF,ENCFF338DHH,ENCFF609QTI,---,---,---,---,---,---,---
C051,ENCFF236QZA,ENCFF943VGJ,ENCFF610PSL,ENCFF134CFC,ENCFF180MWO,ENCFF939WKO,ENCFF212TDX,ENCFF809MNW,ENCFF549WSX,---,ENCFF717BQR,ENCFF876BVD,---
C052,ENCFF418CLT,ENCFF459MJE,ENCFF370FYS,ENCFF802BAX,ENCFF606UWF,ENCFF189MNV,ENCFF524AJR,ENCFF208KQZ,ENCFF244NYT,ENCFF597VDV,ENCFF593WFV,---,---
C053,ENCFF886CLT,ENCFF328QTJ,ENCFF842QCV,---,ENCFF542ZTP,ENCFF805NYZ,---,ENCFF889QDQ,ENCFF768UVJ,---,ENCFF362VKW,---,ENCFF479TTZ
C054,ENCFF019CJH,ENCFF702LGV,ENCFF319WHK,ENCFF497RNF,ENCFF928FNE,ENCFF746NKE,ENCFF053FSK,ENCFF331OKU,ENCFF757RPA,ENCFF993HIW,---,---,---
C055,ENCFF121HMI,---,---,---,---,ENCFF403GQN,ENCFF669DEK,---,ENCFF410BXI,ENCFF167PDE,---,---,---
C056,ENCFF175ZSL,ENCFF392ITP,ENCFF432LXJ,ENCFF040ORD,ENCFF951JTV,ENCFF224GSO,ENCFF182QWI,ENCFF274LFO,ENCFF672ZRB,---,ENCFF662TPN,ENCFF425QRX,ENCFF361HPC
C057,ENCFF541CUC,ENCFF649TRH,ENCFF766JGN,ENCFF411YJS,ENCFF081SMZ,ENCFF371ZVW,ENCFF427IEJ,ENCFF995VWF,ENCFF175BWG,ENCFF940KJB,ENCFF561VPI,ENCFF035SZU,ENCFF155VEQ
C058,ENCFF387MYE,ENCFF031XZC,ENCFF636FOC,ENCFF382QPL,ENCFF647FOG,ENCFF116SKK,---,---,---,---,---,---,---
C059,ENCFF437JDY,ENCFF183OMX,ENCFF615QEG,---,ENCFF123ZYX,---,---,---,---,---,---,---,---
C060,ENCFF895SIG,ENCFF639BVL,ENCFF094SUP,ENCFF600ATL,---,ENCFF281ZIR,---,---,---,---,---,---,---
C061,ENCFF775PWV,ENCFF330LSO,ENCFF941DIP,---,ENCFF774JNF,ENCFF177NZT,---,---,---,---,---,---,---
C062,ENCFF825QVX,ENCFF601TNL,ENCFF743TTM,---,ENCFF069BFP,ENCFF997OGX,---,---,---,---,---,---,---
C063,ENCFF865DTJ,ENCFF235EWI,---,---,ENCFF943NMR,ENCFF978GRE,ENCFF374ZRZ,---,---,---,---,---,---
C064,ENCFF287YLK,ENCFF113CUN,ENCFF656AMD,ENCFF638XFB,ENCFF745XCS,ENCFF878MJJ,ENCFF591VMI,ENCFF316YUI,ENCFF958KGR,ENCFF704KBD,ENCFF403RAD,ENCFF780EJH,ENCFF348AGC
C065,ENCFF013AWX,ENCFF096OWS,ENCFF766FTX,ENCFF428ISF,ENCFF430IGZ,ENCFF291XEQ,ENCFF603TPW,ENCFF900VXK,ENCFF446EZI,ENCFF268BCN,ENCFF056JZV,ENCFF132AKL,---
C066,ENCFF834ZJO,ENCFF065WSQ,ENCFF100QAA,ENCFF266SMI,ENCFF217PLS,ENCFF379UTX,---,---,---,---,---,---,---
C067,ENCFF272VFY,ENCFF983FBH,ENCFF896UKL,---,ENCFF174CGM,ENCFF557RFM,---,---,---,---,---,---,---
C068,---,ENCFF036JGJ,ENCFF947VPZ,ENCFF156PPR,ENCFF978MNA,ENCFF015QZL,ENCFF625JUQ,ENCFF162OVG,ENCFF740AQZ,---,ENCFF727IGY,ENCFF933EDQ,ENCFF887OJO
C069,ENCFF220DFD,ENCFF679LBG,ENCFF916NKS,ENCFF796CTL,ENCFF867JAL,ENCFF719UJA,---,---,---,---,---,---,---
C070,ENCFF153SDA,ENCFF970UGK,ENCFF079KAU,---,ENCFF423HNN,ENCFF497LTO,---,---,---,---,---,---,---
C071,---,ENCFF741ZXM,ENCFF124TQY,---,ENCFF838VLD,ENCFF059TPD,---,---,---,---,---,---,---
C072,ENCFF965VFL,ENCFF158PHM,ENCFF368FEU,ENCFF732AYJ,ENCFF771FEL,ENCFF356WNI,---,---,---,---,---,---,---
C073,ENCFF819FGO,ENCFF947SHO,ENCFF612KEL,ENCFF497UKQ,---,ENCFF215CPS,---,---,---,---,---,---,---
C074,ENCFF603UIS,---,ENCFF904RNY,ENCFF156NVR,ENCFF970NTA,---,---,---,---,---,---,---,---
C075,ENCFF392HKC,ENCFF161VJG,ENCFF241LLG,ENCFF895WVT,ENCFF881MOR,ENCFF783DTK,---,---,---,---,---,---,---
C076,ENCFF739UXQ,ENCFF077RWJ,---,ENCFF830NSP,---,ENCFF288WPY,---,---,---,---,---,---,---
C077,---,ENCFF055PNG,ENCFF617DKQ,ENCFF604PVO,---,ENCFF466IUA,---,---,---,---,---,---,---
C078,---,---,---,---,---,ENCFF702FBR,---,---,---,---,---,---,---
C079,---,ENCFF429MLT,ENCFF973MED,---,---,ENCFF656NEK,---,---,---,---,---,---,---
